3	2.8	0.5
4	3.8	0.5
5	4.8	0.7
6	5.7	0.8
7	6.7	0.9
8	7.6	0.9
9	8.6	1.1
10	9.6	1.1
11	10.5	1.1
12	11.5	1.1
13	12.4	1.1
14	13.4	1.1
15	14.3	1.1
16	15.2	1.1
17	16.2	1.1
18	17	1.3
19	18	1.3
20	19	1.3
21	20	1.3
22	21	1.3
23	22	1.3
24	22.9	1.3
25	23.9	1.3
26	24.9	1.3
27	25.6	1.3
28	26.6	1.6
29	27.6	1.6
30	28.6	1.6
31	29.3	1.6
32	30.3	1.6
33	31.3	1.6
34	32.3	1.6
35	33	1.6
36	34	1.85
37	35	1.85
38	36	1.85
39	37	1.85
40	37.5	1.85
41	38	1.85
42	38.5	1.85
43	39.5	1.85
44	41.5	1.85
45	42.5	1.85
46	43.5	1.85
47	44.5	2.15
48	45.5	2.15
50	47	2.15
52	49	2.15
54	51	2.15
55	52	2.15
56	53	2.15
57	54	2.15
58	55	2.15
60	57	2.15
62	59	2.15
63	60	2.15
65	62	2.65
67	64	2.65
68	65	2.65
70	67	2.65
72	69	2.65
75	72	2.65
77	74	2.65
78	75	2.65
80	76.5	2.65
82	78.5	2.65
85	81.5	3.15
87	83.5	3.15
88	84.5	3.15
90	86.5	3.15
92	88.5	3.15
95	91.5	3.15
97	93.5	3.15
98	94.5	3.15
100	96.5	3.15
102	98	4.15
105	101	4.15
107	103	4.15
108	104	4.15
110	106	4.15
112	108	4.15
115	111	4.15
117	113	4.15
118	114	4.15
120	116	4.15
122	118	4.15
125	121	4.15
127	123	4.15
128	124	4.15
130	126	4.15
132	128	4.15
135	131	4.15
137	133	4.15
138	134	4.15
140	136	4.15
142	138	4.15
145	141	4.15
150	145	4.15
155	150	4.15
160	155	4.15
165	160	4.15
170	165	4.15
175	170	4.15
180	175	4.15
185	180	4.15
190	185	4.15
195	190	4.15
200	195	4.15
210	204	5.15
215	209	5.15
220	214	5.15
230	224	5.15
240	234	5.15
250	244	5.15
255	247	5.15
260	252	5.15
270	262	5.15
280	272	5.15
290	282	5.15
300	292	5.15
